epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,152.69,1.60968,1.37453,1.10282,0.3143,0.36509,0.27198,0.12122,1.90854,1.59425,1.22204,0.000462259,0.000462259,0.000462259
75,154.669,1.57869,1.35451,1.10411,0.30233,0.36707,0.26219,0.1184,1.88797,1.59515,1.21788,0.000445756,0.000445756,0.000445756
76,156.616,1.57313,1.35452,1.09393,0.29825,0.35492,0.26619,0.12127,1.86836,1.58496,1.20855,0.000429253,0.000429253,0.000429253
77,158.7,1.608,1.31786,1.08286,0.2807,0.38049,0.27095,0.1208,1.87349,1.62249,1.20548,0.000412749,0.000412749,0.000412749
78,160.643,1.56451,1.33943,1.1,0.27339,0.39705,0.27773,0.12166,1.88204,1.65313,1.20714,0.000396246,0.000396246,0.000396246
79,162.614,1.64527,1.35388,1.11275,0.2833,0.39642,0.27985,0.12538,1.85962,1.65033,1.20164,0.000379743,0.000379743,0.000379743
80,164.487,1.54566,1.31812,1.10341,0.32801,0.35806,0.28455,0.12863,1.84247,1.64962,1.20194,0.000363239,0.000363239,0.000363239
81,166.394,1.61995,1.36322,1.09294,0.33087,0.33246,0.28393,0.12912,1.85302,1.64594,1.20336,0.000346736,0.000346736,0.000346736
82,168.33,1.56386,1.31577,1.0929,0.29345,0.36433,0.27465,0.12422,1.85636,1.64222,1.19706,0.000330233,0.000330233,0.000330233
83,170.26,1.55486,1.28276,1.09064,0.282,0.36529,0.2676,0.12158,1.85094,1.63528,1.19527,0.000313729,0.000313729,0.000313729
84,172.184,1.55899,1.29377,1.0924,0.28801,0.37468,0.26437,0.12128,1.85831,1.619,1.20413,0.000297226,0.000297226,0.000297226
85,174.09,1.5614,1.29065,1.10649,0.30347,0.35363,0.27262,0.12563,1.86843,1.60603,1.20961,0.000280723,0.000280723,0.000280723
86,176.046,1.56884,1.26295,1.10011,0.31919,0.36813,0.28648,0.1312,1.86706,1.57578,1.20942,0.00026422,0.00026422,0.00026422
87,177.926,1.57978,1.3445,1.09508,0.32481,0.38092,0.29374,0.13413,1.87332,1.55414,1.20989,0.000247716,0.000247716,0.000247716
88,180.089,1.53365,1.2827,1.09806,0.31686,0.38982,0.29133,0.13255,1.87769,1.54988,1.21012,0.000231213,0.000231213,0.000231213
89,182.001,1.53948,1.28063,1.10124,0.312,0.3822,0.28619,0.12964,1.87423,1.55646,1.20739,0.00021471,0.00021471,0.00021471
90,183.932,1.56658,1.29727,1.07509,0.31311,0.37504,0.28347,0.12763,1.87567,1.56075,1.20685,0.000198206,0.000198206,0.000198206
91,187.908,1.60626,1.58735,1.11984,0.29316,0.38043,0.28163,0.12705,1.87391,1.57978,1.20743,0.000181703,0.000181703,0.000181703
92,189.804,1.60789,1.53954,1.12759,0.30201,0.40817,0.2874,0.12895,1.87609,1.57082,1.20642,0.0001652,0.0001652,0.0001652
93,191.64,1.57712,1.40874,1.11491,0.31427,0.38886,0.28937,0.12941,1.87848,1.55812,1.20268,0.000148696,0.000148696,0.000148696
94,193.577,1.57885,1.4046,1.10641,0.33554,0.38306,0.29546,0.13081,1.8838,1.55679,1.20405,0.000132193,0.000132193,0.000132193
95,195.438,1.54854,1.36293,1.11492,0.33726,0.37948,0.29561,0.13213,1.87719,1.55443,1.20236,0.00011569,0.00011569,0.00011569
96,197.333,1.57233,1.40487,1.09737,0.34683,0.36827,0.2947,0.13373,1.87174,1.55832,1.20302,9.91865e-05,9.91865e-05,9.91865e-05
97,199.334,1.54041,1.34773,1.10919,0.3611,0.35383,0.29146,0.13108,1.86978,1.57062,1.20531,8.26832e-05,8.26832e-05,8.26832e-05
98,201.417,1.5618,1.33188,1.10194,0.34648,0.35897,0.28925,0.13017,1.86878,1.59403,1.20737,6.61799e-05,6.61799e-05,6.61799e-05
99,203.299,1.55934,1.33433,1.10585,0.34557,0.35717,0.2864,0.1291,1.86998,1.6205,1.20997,4.96766e-05,4.96766e-05,4.96766e-05
100,205.245,1.54567,1.32663,1.09323,0.33504,0.36076,0.28582,0.1288,1.87137,1.6401,1.21119,3.31733e-05,3.31733e-05,3.31733e-05
